epoch,lr-AdamW,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,0.0003,0,,,,,,,,
0,,49,,,,0.2421875,,2.1055784225463867,,
0,,99,,,,0.25,,1.9568676948547363,,
0,,149,,,,0.3046875,,1.9398213624954224,,
0,,199,,,,0.3515625,,1.904902696609497,,
0,,249,,,,0.375,,1.824328899383545,,
0,,299,,,,0.359375,,1.8713765144348145,,
0,,349,,,,0.34375,,1.8631229400634766,,
0,,351,,,,,,,0.36640000343322754,1.818735957145691
0,,351,,,0.30335554480552673,,1.958503246307373,,,
,0.0002926829491861254,352,,,,,,,,
1,,399,,,,0.3984375,,1.7311749458312988,,
1,,449,,,,0.359375,,1.8549845218658447,,
1,,499,,,,0.4765625,,1.6568766832351685,,
1,,549,,,,0.34375,,1.814347505569458,,
1,,599,,,,0.4375,,1.7242437601089478,,
1,,649,,,,0.515625,,1.65338134765625,,
1,,699,,,,0.5,,1.6098228693008423,,
1,,703,,,,,,,0.43619999289512634,1.7085171937942505
1,,703,,,0.40077778697013855,,1.7640717029571533,,,
,0.0002714480406590546,704,,,,,,,,
2,,749,,,,0.4140625,,1.7827298641204834,,
2,,799,,,,0.5,,1.6267503499984741,,
2,,849,,,,0.4296875,,1.7212525606155396,,
2,,899,,,,0.46875,,1.6261863708496094,,
2,,949,,,,0.53125,,1.5373563766479492,,
2,,999,,,,0.5,,1.6376972198486328,,
2,,1049,,,,0.453125,,1.6595970392227173,,
2,,1055,,,,,,,0.4918000102043152,1.587323546409607
2,,1055,,,0.4627111256122589,,1.6452149152755737,,,
,0.0002383738952177247,1056,,,,,,,,
3,,1099,,,,0.421875,,1.6337518692016602,,
3,,1149,,,,0.5,,1.5376617908477783,,
3,,1199,,,,0.5,,1.4877524375915527,,
3,,1249,,,,0.546875,,1.5508992671966553,,
3,,1299,,,,0.5078125,,1.5466737747192383,,
3,,1349,,,,0.5703125,,1.5157091617584229,,
3,,1399,,,,0.5390625,,1.505027413368225,,
3,,1407,,,,,,,0.5239999890327454,1.546522617340088
3,,1407,,,0.5027333498001099,,1.5655559301376343,,,
,0.0001966980406590546,1408,,,,,,,,
4,,1449,,,,0.5390625,,1.5038015842437744,,
4,,1499,,,,0.53125,,1.4748913049697876,,
4,,1549,,,,0.4921875,,1.5032943487167358,,
4,,1599,,,,0.5234375,,1.5108892917633057,,
4,,1649,,,,0.5078125,,1.5162192583084106,,
4,,1699,,,,0.5390625,,1.4987637996673584,,
4,,1749,,,,0.5546875,,1.4617853164672852,,
4,,1759,,,,,,,0.550599992275238,1.4616681337356567
4,,1759,,,0.5349777936935425,,1.5007532835006714,,,
,0.00015049999999999997,1760,,,,,,,,
5,,1799,,,,0.5703125,,1.4580926895141602,,
