epoch,lr-AdamW,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,1.200000000000002e-05,0,,,,,,,,
0,,49,,,,0.1953125,,2.139650344848633,,
0,,99,,,,0.2890625,,2.0463993549346924,,
0,,149,,,,0.2109375,,2.126310110092163,,
0,,199,,,,0.2578125,,2.0295825004577637,,
0,,249,,,,0.34375,,1.9153364896774292,,
0,,299,,,,0.359375,,2.0057759284973145,,
0,,349,,,,0.296875,,1.9778376817703247,,
0,,351,,,,,,,0.2752000093460083,2.028085708618164
0,,351,,,0.24639999866485596,,2.0834341049194336,,,
,1.27889963544446e-05,352,,,,,,,,
1,,399,,,,0.296875,,1.970574140548706,,
1,,449,,,,0.2734375,,2.02528715133667,,
1,,499,,,,0.2109375,,2.0186712741851807,,
1,,549,,,,0.2734375,,2.0202889442443848,,
1,,599,,,,0.3046875,,2.0087029933929443,,
1,,649,,,,0.2890625,,1.9611339569091797,,
1,,699,,,,0.296875,,2.0211198329925537,,
1,,703,,,,,,,0.30559998750686646,1.969360589981079
1,,703,,,0.29588890075683594,,1.9953861236572266,,,
,1.5147339372676468e-05,704,,,,,,,,
2,,749,,,,0.3125,,1.969304084777832,,
2,,799,,,,0.359375,,1.974606990814209,,
2,,849,,,,0.2734375,,2.0067455768585205,,
2,,899,,,,0.296875,,1.9582431316375732,,
2,,949,,,,0.3515625,,1.9420140981674194,,
2,,999,,,,0.3359375,,2.006157159805298,,
2,,1049,,,,0.390625,,1.938974380493164,,
2,,1055,,,,,,,0.31940001249313354,1.9316812753677368
2,,1055,,,0.3233555555343628,,1.9470468759536743,,,
,1.9049185665196908e-05,1056,,,,,,,,
3,,1099,,,,0.34375,,1.9015693664550781,,
3,,1149,,,,0.2890625,,1.9621336460113525,,
3,,1199,,,,0.359375,,1.9437930583953857,,
3,,1249,,,,0.34375,,1.9875272512435913,,
3,,1299,,,,0.3515625,,1.848265290260315,,
3,,1349,,,,0.3125,,1.944275140762329,,
3,,1399,,,,0.3046875,,1.9602309465408325,,
3,,1407,,,,,,,0.34439998865127563,1.8996753692626953
3,,1407,,,0.3410888910293579,,1.9084060192108154,,,
,2.4451777697278036e-05,1408,,,,,,,,
4,,1449,,,,0.34375,,1.8702305555343628,,
4,,1499,,,,0.3203125,,1.9606448411941528,,
4,,1549,,,,0.3203125,,1.8756427764892578,,
4,,1599,,,,0.2578125,,1.901679277420044,,
4,,1649,,,,0.3828125,,1.8702020645141602,,
4,,1699,,,,0.359375,,1.9326945543289185,,
4,,1749,,,,0.3671875,,1.8403890132904053,,
4,,1759,,,,,,,0.3610000014305115,1.8631386756896973
4,,1759,,,0.3574889004230499,,1.8738051652908325,,,
,3.129591233811622e-05,1760,,,,,,,,
5,,1799,,,,0.3203125,,1.9401459693908691,,
5,,1849,,,,0.3671875,,1.7969423532485962,,
5,,1899,,,,0.3984375,,1.803715467453003,,
5,,1949,,,,0.3359375,,1.8662000894546509,,
5,,1999,,,,0.3203125,,1.7897530794143677,,
5,,2049,,,,0.3828125,,1.8172261714935303,,
5,,2099,,,,0.453125,,1.782195806503296,,
